Center,Center Search Status,Facility,FacilityURL,Occupied,Status,URL Link,Record Date,Last Update,Country,Contact,Phone,Location,City,State,Zipcode
Wallops Flight Facility/GSFC,Public,White Sands Missile Range,,01/01/1964 12:00:00 AM,Active,http://www.nasa.gov/centers/wallops,03/01/1996 12:00:00 AM,07/19/2013 12:00:00 AM,US,Scott H. Schaire,757-824-1120,"23337-5099(37.911289, -75.469622)",Wallops Island,VA,23337-5099
Jet Propulsion Lab,Public,Computer Vision Lab.,,01/01/1948 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/07/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Marshall Space Flight Center,Public,EH Advanced Bonding Technology Laboratory 4707,,01/01/1956 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,05/30/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EP Test Cells 4583 ,,01/01/1957 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EH Computerized Data Base System 4612,,01/01/1960 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Jet Propulsion Lab,Public,Energy Conservation Laboratory High Bay Chamber,,,Active,,07/06/2010 12:00:00 AM,08/07/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Marshall Space Flight Center,Public,EH Heat Treat Shop 4704,,01/01/1958 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Langley Research Center,Public,Low Frequency Antenna Test Facility,,01/01/1965 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,Public,EM-20 Backscatter Radiography Facility 4711/4707,,01/01/2002 12:00:00 AM,Active,,08/04/2006 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Langley Research Center,Public,Research Laboratory,,01/01/1967 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Ames Research Center,Public,N229 - EXPER. AEROTHERMODYNAMIC FAC.: ELECTRIC ARC SHOCK TUBE FACILITY (PAPAC),,01/01/1961 12:00:00 AM,Active,http://thermo-physics.arc.nasa.gov,03/01/1996 12:00:00 AM,06/13/2014 12:00:00 AM,US,Rocci Caringello,650 603-9506,"94035(37.41412, -122.052585)",Moffett Field,CA,94035
Goddard Space Flight Center,Public,500: Mission Operations Center Facility,,01/01/1961 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Jet Propulsion Lab,Public,Optical Laboratories,,01/01/1993 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/08/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Goddard Space Flight Center,Public,500 MILA : Merritt Island Tracking Station (MILA),,01/01/1966 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/15/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Glenn Research Center,Public,Aerodynamics Flow Physics Facilities (ERB Complex),,01/01/1942 12:00:00 AM,Active,http://facilities.grc.nasa.gov/erb/index.html,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Kennedy Space Center,Public,"Crawler-Transporter, CT1 ",,01/01/1966 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Goddard Space Flight Center,Public,500/WSC: Data Interface System,,01/01/1977 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Langley Research Center,Public,Information Systems Research Facility (1),,01/01/1945 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Goddard Space Flight Center,Public,"700: SSDIF Clean Room, B.29",,01/01/1990 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Johnson Space Center,Public,"Sonic Fatique Lab (SFL), B-49",,,Active,http://www.nasa.gov/centers/johnson/pdf/639503main_VATF_User_Test_Planning_Guide.pdf,07/08/2010 12:00:00 AM,09/26/2012 12:00:00 AM,US,Charles Noel,281.483.3219,"77058(29.559177, -95.097897)",Houston,TX,77058
Kennedy Space Center,Public,Facility Control Building/M7-1354/PHSF ,,01/01/1985 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Stennis Space Center,Public,Sensor Laboratory #1105,,01/01/1966 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Glenn Research Center,Public,Reverberant Acoustic Test Facility (RATF),,01/01/2011 12:00:00 AM,Active,http://www.grc.nasa.gov/WWW/Facilities/ext/spf/index.html,07/08/2010 12:00:00 AM,03/05/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Stennis Space Center,Public,Emergency Power Generating System #4400,,01/01/1966 12:00:00 AM,Active,http://rockettest.nasa.gov,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Kennedy Space Center,Public,"SLF: KSC Shuttle Landing Facility, UK-27 ",,01/01/1976 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Kennedy Space Center,Public,High Bay 4 Cell/K6-848/VAB ,,01/01/1966 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Armstrong Flight Research Center,Public,Bldg. 4840 - Research Aircraft Integration Facility,,01/01/1992 12:00:00 AM,Active,http://www.nasa.gov/centers/dryden/pdf/152685main_RAIF_fa,03/01/1996 12:00:00 AM,12/17/2014 12:00:00 AM,US,Facilities Utilization Officer,661-276-2585,"93523(35.000989, -117.888837)",Edwards,CA,93523
Marshall Space Flight Center,Public,EV Flight Robotics Laboratory (Flat Floor) 4619,,01/01/1983 12:00:00 AM,Active,,06/03/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Jet Propulsion Lab,Public,Thermal-Vacuum Chamber 144-TV-7,,01/01/1961 12:00:00 AM,Active,http://etl.jpl.nasa.gov,03/01/1996 12:00:00 AM,08/08/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Marshall Space Flight Center,Public,ET Flight Environmental Test Facility 4619,,01/01/1962 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/26/2015 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Stennis Space Center,Public,Test Facility E-2 #4001,,01/01/1994 12:00:00 AM,Active,http://rockettest.nasa.gov,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Langley Research Center,Public,Thermal Structures Lab,,01/01/1960 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Goddard Space Flight Center,Public,Sensor Data Processing Facility,,01/01/1965 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Marshall Space Flight Center,Public,EI Manned Habitat ECLSS Test Facility 4755,,01/01/1985 12:00:00 AM,Active,,05/17/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EH High-Temperature Heat Treating Fac 4767,,01/01/1958 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,Filament Winding Lab 4707 ,,01/01/1956 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,ES Plasma Wind Tunnel 4481,,01/01/1991 12:00:00 AM,,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Glenn Research Center,Public,"2.2 Second Drop Tower, Bldg. 45",,01/01/1958 12:00:00 AM,Active,http://microgravity.grc.nasa.gov/drop2/,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Marshall Space Flight Center,Public,"EM Chemistry Laboratories, Building 4612",,01/01/1957 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,ES Earth Science & Appl.Computer Facility 4492,,01/01/1991 12:00:00 AM,,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Glenn Research Center,Public,"Power Systems Facility, Bldg. 333 & 333A",,01/01/1989 12:00:00 AM,Active,http://www.grc.nasa.gov/WWW/Facilities/ext/psf/ind,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Glenn Research Center,Public,"Cryogenic Propellant Tank Fac. (K-Site), #2811",,01/01/1965 12:00:00 AM,Active,http://www.grc.nasa.gov/WWW/Facilities/ext/ksite/index.html,03/01/1996 12:00:00 AM,03/05/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Kennedy Space Center,Public,Headquarters Building/M6-399 ,,01/01/1965 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,Public,"EM Bearing Test Facility, Bldg 4711",,01/01/1960 12:00:00 AM,Active,,05/14/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EH Surface Treatment Facility 4760,,01/01/1960 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EP Propulsion Technology Test Facility 4670,,01/01/1965 12:00:00 AM,,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EM-20 Digital X-ray Laminography 4711,,01/01/2006 12:00:00 AM,Active,,08/04/2006 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,Public,LB Cells (4) Low Bay Area/West/K6-848/VAB ,,01/01/1966 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Michoud Assembly Facility,Public,Vertical Assembly Facility,,01/01/1963 12:00:00 AM,Active,http://mafbusiness.msfc.nasa.gov/,02/03/2009 12:00:00 AM,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Marshall Space Flight Center,Public,EH Plasma Arc Metal Cutting Facility 4738,,01/01/1958 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EM-20 Terahertz Imaging Facility 4711,,01/01/2003 12:00:00 AM,Active,,08/04/2006 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Wallops Flight Facility/GSFC,Public,Mobile Range Systems,,01/01/1960 12:00:00 AM,Active,http://www.nasa.gov/centers/wallops,03/01/1996 12:00:00 AM,07/19/2013 12:00:00 AM,US,Scott H. Schaire,757-824-1120,"23337-5099(37.911289, -75.469622)",Wallops Island,VA,23337-5099
Marshall Space Flight Center,Public,Fiber Placement Fac 4707 ,,01/01/1956 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Michoud Assembly Facility,Public,Component Ablator Facility Mix Room,,01/01/1985 12:00:00 AM,Active,http://mafbusiness.msfc.nasa.gov/,04/06/2009 12:00:00 AM,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Armstrong Flight Research Center,Public,Bldg. 4800 - Research Development & Test Facility,,01/01/1954 12:00:00 AM,Active,http://www.nasa.gov/centers/dryden/home/index.html,04/13/2010 12:00:00 AM,12/19/2014 12:00:00 AM,US,Facilities Utilization Officer,661-276-2585,"93523(35.000989, -117.888837)",Edwards,CA,93523
Armstrong Flight Research Center,Public,Bldg. 703 Mirror Coating Facility,,,Active,,03/25/2013 12:00:00 AM,07/10/2013 12:00:00 AM,US,Facilities Utilization Officer,661-276-2585,"93523(35.000989, -117.888837)",Edwards,CA,93523
Michoud Assembly Facility,Public,Chemical Cleaning Facility,,01/01/1943 12:00:00 AM,Active,http://mafbusiness.msfc.nasa.gov/,01/28/2009 12:00:00 AM,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Glenn Research Center,Public,"Propulsion Systems Laboratory, Bldg. 125",,01/01/1972 12:00:00 AM,Active,http://facilities.grc.nasa.gov/psl/,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Jet Propulsion Lab,Public,"Atomic Oxygen Test Facility, 121-100",,01/01/1965 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/07/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Marshall Space Flight Center,Public,EP Solid Propulsion Test Facility 4520,,,Active,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Wallops Flight Facility/GSFC,Public,McMurdo Ground Station (MGS),,01/01/1994 12:00:00 AM,Active,http://www.nasa.gov/centers/wallops,03/01/1996 12:00:00 AM,07/19/2013 12:00:00 AM,US,Scott H. Schaire,757-824-1120,"23337-5099(37.911289, -75.469622)",Wallops Island,VA,23337-5099
Goddard Space Flight Center,Public,"Facility 238, Thermal Vacuum Chamber, B.7",,,Active,http://mscweb.gsfc.nasa.gov/549web,07/09/2010 12:00:00 AM,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Marshall Space Flight Center,Public,EM Contamination Control Laboratories 4711,,,Active,,05/29/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Glenn Research Center,Public,Mechanical Vibration Facility,,,Active,http://www.grc.nasa.gov/WWW/Facilities/ext/spf/index.html,03/05/2015 12:00:00 AM,,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Michoud Assembly Facility,Public,LH2 Ablator Spray Facility,,01/01/1980 12:00:00 AM,Active,http://mafbusiness.msfc.nasa.gov/,04/06/2009 12:00:00 AM,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Marshall Space Flight Center,Public,EO Huntsville Operations Support Center 4663,,01/01/1959 12:00:00 AM,Active,http://ed.msfc.nasa.gov/edinside/eo,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,Public,LCC Control Room 2/FR-2/Third Floor/K6-900 ,,01/01/1966 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Public,Flight Systems Integration and Test Lab/B1250,,01/01/1968 12:00:00 AM,Active,,06/22/2006 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,Public,ET WTC - Wind Tunnel Complex 4732,,01/01/1968 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Langley Research Center,Public,Transonic Dynamics Tunnel,,01/01/1960 12:00:00 AM,Active,http://www.aeronautics.nasa.gov/atp/index.html,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Goddard Space Flight Center,Public,"500 MILA: Antenna, 9m S-band",,01/01/1966 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/15/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Stennis Space Center,Public,"Barge, Liquid Hydrogen (3 each)",,01/01/1965 12:00:00 AM,Active,http://rockettest.nasa.gov,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Jet Propulsion Lab,Public,DSS 24 Antenna,,01/01/1994 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/07/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Langley Research Center,Public,Thermal Acoustic Fatigue Apparatus,,,Active,http://stab.larc.nasa.gov/Fac-TAFA.html,08/02/2012 12:00:00 AM,08/02/2012 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Langley Research Center,Public,Flight Research Facility,,01/01/1951 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/15/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,Public,ET Hazardous Structural Test Complex 4572 ,,,Active,,05/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EB Doppler Lidar Facility 4467,,01/01/1957 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,05/30/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,ET Structural Dynamics Control Facility 4619,,,Active,,05/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Langley Research Center,Public,Experimental Avionics Systems Integration Lab,,01/01/1951 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/15/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,Public,EP Hot Gas Test Facility 4554 ,,01/01/1976 12:00:00 AM,,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Jet Propulsion Lab,Public,25-Ft Space Simulator,,01/01/1961 12:00:00 AM,Active,http://etl.jpl.nasa.gov,03/01/1996 12:00:00 AM,08/07/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Kennedy Space Center,Public,Altitude Chambers/Deactivated/M7-355/O&C,,01/01/1963 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Public,Compact Range Pilot Facility,,01/01/1965 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Glenn Research Center,Public,Learjet 25 Aircraft (N616NA),,01/01/1942 12:00:00 AM,Active,http://www.lerc.nasa.gov/WWW/AFED/facilities/flig,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Kennedy Space Center,Public,Control Room /1726/HGR-S ,,01/01/1957 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Kennedy Space Center,Public,"Crawler-Transporter, CT2 ",,01/01/1966 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Stennis Space Center,Public,Science Laboratory #8110,,01/01/1966 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Marshall Space Flight Center,Public,ET Large Structure Quasi-Static Load Fac 4619,,,Active,,04/25/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,Cosmic Ray Emulsion Laboratory 4481,,01/01/1991 12:00:00 AM,Inactive,,03/01/1996 12:00:00 AM,05/30/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Goddard Space Flight Center,Public,500 BDA: Bermuda Tracking Station (BDA),,,Active,,03/01/1996 12:00:00 AM,08/15/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Michoud Assembly Facility,Public,Major Component Cleaning Facility,,01/01/1943 12:00:00 AM,Inactive,http://mafbusiness.msfc.nasa.gov/,02/02/2009 12:00:00 AM,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Stennis Space Center,Public,Industrial Water Reservoir #4325,,01/01/1966 12:00:00 AM,Active,http://rockettest.nasa.gov,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Glenn Research Center,Public,"1 Ft. x 1 Ft. Supersonic Wind Tunnel, Bldg. 37",,01/01/1990 12:00:00 AM,Active,http://facilities.grc.nasa.gov/1x1/index.html,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Marshall Space Flight Center,Public,ET Cryogenic Structural Test Facility 4699 ,,,Active,,05/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,Public,High Bay/M7-1354/PHSF ,,01/01/1985 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,Public,EH Foam Formulation Laboratory 4739,,01/01/1956 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,Public,HMF South Processing Bldg/East High Bay/M7-1212 ,,01/01/1964 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Jet Propulsion Lab,Public,Remote Surface Lab,,01/01/1972 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/08/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Glenn Research Center,Public,DeHavilland DHC-6 Aircraft (N607NA),,01/01/1942 12:00:00 AM,Active,http://www.lerc.nasa.gov/WWW/AFED/facilities/flig,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Wallops Flight Facility/GSFC,Public,Main Base Laboratories and Shops,,01/01/1959 12:00:00 AM,Active,http://www.nasa.gov/centers/wallops,03/01/1996 12:00:00 AM,07/19/2013 12:00:00 AM,US,Scott H. Schaire,757-824-1120,"23337-5099(37.911289, -75.469622)",Wallops Island,VA,23337-5099
